system_id,team_level,story_id,quest_id,dialog
101,1,0,0,""
102,1,0,11002008,"主線冒險2-8（NORMAL）通關後解放"
103,1,0,11002005,"      主線冒險\n      2-5（NORMAL）\n      通關後解放"
104,1,0,11002012,"    主線冒險\n    2-12(NORMAL)\n    通關後解放"
107,1,0,11003001,"    主線冒險\n    3-1（NORMAL）\n    通關後解放"
108,1,0,11009001,"主線冒險9-1（NORMAL）通關後解放"
109,1,0,11009002,"主線冒險9-2（NORMAL）通關後解放"
110,1,0,11001005,"主線冒險1-5（NORMAL）通關後解放"
111,1,0,12018001,"主線冒險18-1（HARD）通關後解放"
112,1,0,11018005,"主線冒險18-5（NORMAL）通關後解放"
201,1,0,0,""
202,1,0,11004006,"主線冒險4-6（NORMAL）通關後解放"
203,1,0,11008015,"主線冒險8-15（NORMAL）通關後解放"
204,1,0,11002012,"主線冒險2-12（NORMAL）通關後解放"
205,1,0,11003001,"主線冒險3-1（NORMAL）通關後解放"
206,1,0,11004013,"主線冒險4-13（NORMAL）通關後解放"
207,1,0,0,""
210,1,0,0,""
401,1,0,11004006,"主線冒險4-6（NORMAL）\n通關後解放"
402,1,0,11008015,"主線冒險8-15（NORMAL）\n通關後解放"
503,1,0,11002002,"主線冒險2-2（NORMAL）通關後解放"
506,1,0,11003005,"主線冒險3-5（NORMAL）通關後解放"
601,1,0,11002001,"主線冒險2-1（NORMAL）通關後解放"
602,1,0,11007001,"主線冒險7-1（NORMAL）通關後解放"
603,1,0,11016014,"主線冒險16-14（NORMAL）通關後解放"
701,1,0,11003001,"主線冒險3-1（NORMAL）通關後解放"
904,1,0,11002009,"主線冒險2-9（NORMAL）通關後解放"
905,1,0,11002009,"主線冒險2-9（NORMAL）通關後解放"
906,1,0,0,""
8001,1,0,11003002,"主線冒險3-2（NORMAL）通關後解放"
