mission_id,disp_group,category_icon,description,mission_condition,condition_value_1,condition_value_2,condition_value_3,condition_num,mission_reward_id,system_id,visible_flag,start_time,end_time
51001001,402001,201,"",1001,11001010,0,0,1,0,101,0,"2015/04/01 15:00:00","2030/04/01 14:59:59"
51001002,402001,201,"",1001,11002012,0,0,1,0,101,0,"2015/04/01 15:00:00","2030/04/01 14:59:59"
51001003,402001,201,"",1001,11003012,0,0,1,0,101,0,"2015/04/01 15:00:00","2030/04/01 14:59:59"
51001004,402001,201,"",1001,11004013,0,0,1,0,101,0,"2015/04/01 15:00:00","2030/04/01 14:59:59"
51001005,402001,201,"",1001,11005013,0,0,1,0,101,0,"2015/04/01 15:00:00","2030/04/01 14:59:59"
51001006,402001,201,"",1001,11006014,0,0,1,0,101,0,"2015/04/01 15:00:00","2030/04/01 14:59:59"
51001007,402001,201,"",1001,11007014,0,0,1,0,101,0,"2015/04/01 15:00:00","2030/04/01 14:59:59"
51001008,402001,201,"",1001,11008015,0,0,1,0,101,0,"2015/04/01 15:00:00","2030/04/01 14:59:59"
51001009,402001,201,"",1001,11009015,0,0,1,0,101,0,"2015/04/01 15:00:00","2030/04/01 14:59:59"
51001010,402001,201,"",1001,11010017,0,0,1,0,101,0,"2015/04/01 15:00:00","2030/04/01 14:59:59"
51001011,402001,201,"",1001,11011017,0,0,1,0,101,0,"2015/04/01 15:00:00","2030/04/01 14:59:59"
51001012,402001,201,"",1001,11012017,0,0,1,0,101,0,"2015/04/01 15:00:00","2030/04/01 14:59:59"
51001013,402001,201,"",1001,11013017,0,0,1,0,101,0,"2015/04/01 15:00:00","2030/04/01 14:59:59"
51001014,402001,201,"",1001,11014014,0,0,1,0,101,0,"2015/04/01 15:00:00","2030/04/01 14:59:59"
51001015,402001,201,"",1001,11015014,0,0,1,0,101,0,"2015/04/01 15:00:00","2030/04/01 14:59:59"
51001016,402001,201,"",1001,11016014,0,0,1,0,101,0,"2015/04/01 15:00:00","2030/04/01 14:59:59"
51001017,402001,201,"",1001,11017014,0,0,1,0,101,0,"2015/04/01 15:00:00","2030/04/01 14:59:59"
51001018,402001,201,"",1001,11018014,0,0,1,0,101,0,"2015/04/01 15:00:00","2030/04/01 14:59:59"
51001019,402001,201,"",1001,11019014,0,0,1,0,101,0,"2015/04/01 15:00:00","2030/04/01 14:59:59"
51001020,402001,201,"",1001,11020014,0,0,1,0,101,0,"2020/02/18 16:00:00","2030/04/01 14:59:59"
51001021,402001,201,"",1001,11021014,0,0,1,0,101,0,"2020/02/18 16:00:00","2030/04/01 14:59:59"
51001022,402001,201,"",1001,11022014,0,0,1,0,101,0,"2020/02/18 16:00:00","2030/04/01 14:59:59"
51001023,402001,201,"",1001,11023014,0,0,1,0,101,0,"2020/02/18 16:00:00","2030/04/01 14:59:59"
51001024,402001,201,"",1001,11024014,0,0,1,0,101,0,"2020/02/18 16:00:00","2030/04/01 14:59:59"
51003001,403001,201,"",1003,12001003,0,0,1,0,102,0,"2015/04/01 15:00:00","2030/04/01 14:59:59"
