story_group_id,story_type,value,title,thumbnail_id,disp_order,start_time,end_time
6017,6,10017,"Re:從零開始聚集的異世界餐桌",0,1,"2019/09/27 16:00:00","2030/04/24 14:59:59"
6019,6,10043,"鈴奈的彩虹舞臺！",0,1,"2019/10/30 16:00:00","2030/04/24 14:59:59"
6023,6,10023,"森林的膽小鬼與神聖學院的問題兒童",0,1,"2019/12/31 16:00:00","2030/04/24 14:59:59"
6025,6,10025,"小小勇敢的萬聖節之夜！",0,1,"2020/01/31 16:00:00","2030/04/24 14:59:59"
6027,6,10027,"龍的探索者們",0,1,"2020/02/27 16:00:00","2030/04/24 14:59:59"
6029,6,10029,"禮物大恐慌！　蘭德索爾的聖誕老人們",0,1,"2020/03/30 16:00:00","2030/04/24 14:59:59"
6033,6,10033,"魔法少女　兩人是Misty&Purely",0,1,"2020/06/01 16:00:00","2030/04/24 14:59:59"
6038,6,10038,"恩賜的財團與神聖學院的問題兒童",0,1,"2020/06/29 16:00:00","2030/04/24 14:59:59"
6040,6,10040,"牧場的四農士　貧窮農場奮鬥記",0,1,"2020/07/31 16:00:00","2030/04/24 14:59:59"
6042,6,10042,"不可思議之國的璃乃 小小愛麗絲與希望的繪本",0,1,"2020/09/04 16:00:00","2030/04/24 14:59:59"
