id,story_id,seq_num,type,line_num,start_pos,end_pos,seek_time,sheet_name,cue_name,command,command_param
100580101,1005801,1,4,0,0,0,0.0,0,0,1,0.8
100580102,1005801,2,2,0,0,0,0.0,vo_ske,vo_ske_0101,0,0.0
100580103,1005801,3,1,1,0,94,0.705,0,0,0,0.0
100580104,1005801,4,4,0,0,0,0.0,0,0,1,1.549
100580105,1005801,5,1,1,94,362,1.807,0,0,0,0.0
100580106,1005801,6,4,0,0,0,0.0,0,0,1,3.027
100580107,1005801,7,1,2,0,263,1.141,0,0,0,0.0
100580108,1005801,8,4,0,0,0,0.0,0,0,1,1.9
100580109,1005801,9,1,2,263,400,1.78,0,0,0,0.0
100580110,1005801,10,4,0,0,0,0.0,0,0,1,4.544
100580111,1005801,11,2,0,0,0,0.0,vo_ske,vo_ske_0102,0,0.0
100580112,1005801,12,1,3,0,195,1.322,0,0,0,0.0
100580113,1005801,13,4,0,0,0,0.0,0,0,1,2.917
100580114,1005801,14,2,0,0,0,0.0,vo_ske,vo_ske_0103,0,0.0
100580115,1005801,15,1,4,0,228,1.932,0,0,0,0.0
100580116,1005801,16,4,0,0,0,0.0,0,0,1,2.582
100580117,1005801,17,1,4,228,367,0.996,0,0,0,0.0
100580118,1005801,18,4,0,0,0,0.0,0,0,1,3.856
100580119,1005801,19,2,0,0,0,0.0,vo_ske,vo_ske_0104,0,0.0
100580120,1005801,20,1,5,0,90,0.67,0,0,0,0.0
100580121,1005801,21,4,0,0,0,0.0,0,0,1,1.785
100580122,1005801,22,1,5,90,364,2.253,0,0,0,0.0
100580123,1005801,23,4,0,0,0,0.0,0,0,1,2.253
100580124,1005801,24,1,6,0,0,0.962,0,0,0,0.0
100580125,1005801,25,4,0,0,0,0.0,0,0,1,2.244
100580126,1005801,26,1,6,0,334,1.707,0,0,0,0.0
100580127,1005801,27,4,0,0,0,0.0,0,0,1,4.225
100580128,1005801,28,2,0,0,0,0.0,vo_ske,vo_ske_0105,0,0.0
100580129,1005801,29,1,7,0,227,1.256,0,0,0,0.0
100580130,1005801,30,4,0,0,0,0.0,0,0,1,3.119
100580131,1005801,31,2,0,0,0,0.0,vo_ske,vo_ske_0106,0,0.0
100580132,1005801,32,1,8,0,73,0.702,0,0,0,0.0
100580133,1005801,33,4,0,0,0,0.0,0,0,1,1.386
100580134,1005801,34,1,8,73,318,1.352,0,0,0,0.0
100580135,1005801,35,4,0,0,0,0.0,0,0,1,2.053
100580136,1005801,36,1,8,318,383,0.733,0,0,0,0.0
100580137,1005801,37,4,0,0,0,0.0,0,0,1,1.868
100580138,1005801,38,1,9,0,340,1.764,0,0,0,0.0
100580139,1005801,39,4,0,0,0,0.0,0,0,1,2.905
100580140,1005801,40,1,9,340,340,0.969,0,0,0,0.0
100580141,1005801,41,4,0,0,0,0.0,0,0,1,0.969
100580142,1005801,42,1,10,0,0,0.808,0,0,0,0.0
100580143,1005801,43,4,0,0,0,0.0,0,0,1,2.8
100580144,1005801,44,2,0,0,0,0.0,vo_ske,vo_ske_0107,0,0.0
100580145,1005801,45,1,10,0,52,0.25,0,0,0,0.0
100580146,1005801,46,4,0,0,0,0.0,0,0,1,0.25
100580147,1005801,47,1,10,52,328,1.817,0,0,0,0.0
100580148,1005801,48,4,0,0,0,0.0,0,0,1,3.312
100580149,1005801,49,1,10,328,389,0.666,0,0,0,0.0
100580150,1005801,50,4,0,0,0,0.0,0,0,1,1.17
100580151,1005801,51,1,11,0,0,1.616,0,0,0,0.0
100580152,1005801,52,4,0,0,0,0.0,0,0,1,4.15
100580153,1005801,53,2,0,0,0,0.0,vo_ske,vo_ske_0108,0,0.0
100580154,1005801,54,1,11,0,142,1.198,0,0,0,0.0
100580155,1005801,55,4,0,0,0,0.0,0,0,1,2.442
100580156,1005801,56,1,11,142,267,1.934,0,0,0,0.0
100580157,1005801,57,4,0,0,0,0.0,0,0,1,4.434
100580201,1005802,1,4,0,0,0,0.0,0,0,1,0.8
100580202,1005802,2,2,0,0,0,0.0,vo_ske,vo_ske_0201,0,0.0
100580203,1005802,3,1,1,0,202,1.122,0,0,0,0.0
100580204,1005802,4,4,0,0,0,0.0,0,0,1,1.689
100580205,1005802,5,1,1,202,370,1.13,0,0,0,0.0
100580206,1005802,6,4,0,0,0,0.0,0,0,1,2.883
