gacha_id,gacha_name,description,description_2,description_sp,gacha_detail,gacha_cost_type,price,free_gacha_type,free_gacha_interval_time,free_gacha_count,discount_price,gacha_odds,gacha_odds_star2,gacha_type,movie_id,start_time,end_time,ticket_id,special_id,exchange_id,ticket_id_10,rarity_odds,chara_odds_star1,chara_odds_star2,chara_odds_star3,gacha10_special_odds_star1,gacha10_special_odds_star2,gacha10_special_odds_star3,prizegacha_id,gacha_bonus_id,gacha_times_limit10
10001,"一般轉蛋","取得道具獎勵或記憶碎片吧！","","",1,3,0,1,0,10,0,10001,"",0,0,"2015/04/01 15:00:00","2018/08/08 15:59:59",0,0,0,0,0,0,0,0,0,0,0,0,0,0
10002,"一般轉蛋","取得道具獎勵或記憶碎片吧！","","",1,3,0,1,0,10,0,10002,"",0,0,"2018/08/08 16:00:00","2018/08/20 15:59:59",0,0,0,0,0,0,0,0,0,0,0,0,0,0
10003,"一般轉蛋","取得道具獎勵或記憶碎片吧！","","",1,3,0,1,0,10,0,10003,"",0,0,"2018/08/20 16:00:00","2018/08/31 15:59:59",0,0,0,0,0,0,0,0,0,0,0,0,0,0
10004,"一般轉蛋","取得道具獎勵或記憶碎片吧！","","",1,3,0,1,0,10,0,10004,"",0,0,"2018/08/31 16:00:00","2018/09/14 15:59:59",0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005,"一般轉蛋","取得道具獎勵或記憶碎片吧！","","",1,3,0,1,0,10,0,10005,"",0,0,"2018/09/14 16:00:00","2018/09/21 15:59:59",0,0,0,0,0,0,0,0,0,0,0,0,0,0
10006,"一般轉蛋","取得道具獎勵或記憶碎片吧！","","",1,3,0,1,0,10,0,10006,"",0,0,"2018/09/21 16:00:00","2018/10/09 15:59:59",0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007,"一般轉蛋","取得道具獎勵或記憶碎片吧！","","",1,3,0,1,0,10,0,10007,"",0,0,"2018/10/09 16:00:00","2018/10/22 15:59:59",0,0,0,0,0,0,0,0,0,0,0,0,0,0
10008,"一般轉蛋","取得道具獎勵或記憶碎片吧！","","",1,3,0,1,0,10,0,10008,"",0,0,"2018/10/22 16:00:00","2018/11/08 15:59:59",0,0,0,0,0,0,0,0,0,0,0,0,0,0
10009,"一般轉蛋","取得道具獎勵或記憶碎片吧！","","",1,3,0,1,0,10,0,10009,"",0,0,"2018/11/08 16:00:00","2018/11/15 15:59:59",0,0,0,0,0,0,0,0,0,0,0,0,0,0
10010,"一般轉蛋","取得道具獎勵或記憶碎片吧！","","",1,3,0,1,0,10,0,10010,"",0,0,"2018/11/15 16:00:00","2018/11/30 15:59:59",0,0,0,0,0,0,0,0,0,0,0,0,0,0
