story_id,story_group_id,title,sub_title,visible_type,story_end,pre_story_id,love_level,requirement_id,unlock_quest_id,story_quest_id,chara_index,condition_event_quest_id,condition_event_boss_id,reward_type_1,reward_id_1,reward_value_1,reward_type_2,reward_id_2,reward_value_2,reward_type_3,reward_id_3,reward_value_3,start_time,end_time
6017101,6017,"與愛蜜莉雅的信賴度章節","『公會』的\n架構",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2019/10/01 16:00:00","2030/12/31 14:59:59"
6017102,6017,"與愛蜜莉雅的信賴度章節","帕克的真實身分",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2019/10/01 16:00:00","2030/12/31 14:59:59"
6017103,6017,"與愛蜜莉雅的信賴度章節","毛茸茸的關係",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2019/10/01 16:00:00","2030/12/31 14:59:59"
6017104,6017,"與愛蜜莉雅的信賴度章節","拉姆和雷姆的區別",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2019/10/01 16:00:00","2030/12/31 14:59:59"
6017105,6017,"與愛蜜莉雅的信賴度章節","和拉姆\n變熟了嗎？",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2019/10/01 16:00:00","2030/12/31 14:59:59"
6017106,6017,"與愛蜜莉雅的信賴度章節","和雷姆\n變熟了嗎？",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2019/10/01 16:00:00","2030/12/31 14:59:59"
6017107,6017,"與愛蜜莉雅的信賴度章節","魔力的重要性",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2019/10/01 16:00:00","2030/12/31 14:59:59"
6017108,6017,"與愛蜜莉雅的信賴度章節","蘭德索爾\n有好多精靈族",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2019/10/01 16:00:00","2030/12/31 14:59:59"
6017109,6017,"與愛蜜莉雅的信賴度章節","阿斯特朗的\n精靈術",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2019/10/01 16:00:00","2030/12/31 14:59:59"
6017110,6017,"與愛蜜莉雅的信賴度章節","關於蘭德索爾的\n美乃滋",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2019/10/01 16:00:00","2030/12/31 14:59:59"
